Source	Symbol	0
abdomen_macrophage	CD163	1
abdomen_macrophage	FCGR3A	1
abdomen_macrophage	MERTK	1
abdomen_macrophage	MRC1	1
abdomen_macrophage	VSIG4	1
adipose tissue of abdominal region_stem cell	CD14	1
adipose tissue of abdominal region_stem cell	CD34	1
adipose tissue of abdominal region_stem cell	CD44	2
adipose tissue of abdominal region_stem cell	ITGB1	1
adipose tissue of abdominal region_stem cell	NT5E	1
adipose tissue of abdominal region_stem cell	PECAM1	1
adipose tissue of abdominal region_stem cell	PTPRC	1
adipose tissue of abdominal region_stem cell	THY1	2
adipose tissue of abdominal region_stromal cell	DLK1	1
adipose tissue_B cell	IGHG3	1
adipose tissue_B cell	IGKC	1
adipose tissue_ILC1, human	IL2	1
adipose tissue_ILC1, human	TBX21	1
adipose tissue_adipocyte	ADIPOQ	1
adipose tissue_adipocyte	CD34	1
adipose tissue_adipocyte	CD44	1
adipose tissue_adipocyte	ITGB1	1
adipose tissue_adipocyte	LEP	1
adipose tissue_adipocyte	PLIN1	1
adipose tissue_adipocyte	PTPRC	1
adipose tissue_adipocyte	RBP4	1
adipose tissue_adipocyte	VCAM1	1
adipose tissue_adult endothelial progenitor cell	CD34	1
adipose tissue_alternatively activated macrophage	CD163	1
adipose tissue_alternatively activated macrophage	FOLR2	1
adipose tissue_alternatively activated macrophage	MRC1	1
adipose tissue_dendritic cell	HLA-DRA	1
adipose tissue_dendritic cell	HLA-DRB1	1
adipose tissue_endothelial cell	ABCG2	1
adipose tissue_endothelial cell	CD34	2
adipose tissue_endothelial cell	CDH5	1
adipose tissue_endothelial cell	PECAM1	7
adipose tissue_endothelial cell	PROM1	1
adipose tissue_endothelial cell	VWF	3
adipose tissue_epithelial cell	CLDN3	1
adipose tissue_epithelial cell	EPCAM	1
adipose tissue_epithelial cell	KDR	1
adipose tissue_epithelial cell	KRT18	1
adipose tissue_epithelial cell	KRT8	1
adipose tissue_epithelial cell	VWF	1
adipose tissue_fibroblast	LRP1	1
adipose tissue_fibroblast	PTPRC	1
adipose tissue_hematopoietic cell	LRP1	1
adipose tissue_hematopoietic cell	PTPRC	1
adipose tissue_hematopoietic stem cell	PTPRC	1
adipose tissue_inflammatory macrophage	CD68	1
adipose tissue_inflammatory macrophage	TREM2	1
adipose tissue_macrophage	CD14	2
adipose tissue_macrophage	CD68	1
adipose tissue_macrophage	FCGR2A	1
adipose tissue_macrophage	FCGR3A	1
adipose tissue_macrophage	MRC1	1
adipose tissue_macrophage	PTPRC	1
adipose tissue_mast cell	CPA3	1
adipose tissue_mesenchymal stem cell	CD14	1
adipose tissue_mesenchymal stem cell	CD34	6
adipose tissue_mesenchymal stem cell	CD44	9
adipose tissue_mesenchymal stem cell	CD70	1
adipose tissue_mesenchymal stem cell	ITGB1	4
adipose tissue_mesenchymal stem cell	MCAM	1
adipose tissue_mesenchymal stem cell	NANOG	2
adipose tissue_mesenchymal stem cell	NGFR	1
adipose tissue_mesenchymal stem cell	NT5E	6
adipose tissue_mesenchymal stem cell	PECAM1	2
adipose tissue_mesenchymal stem cell	POU5F1	2
adipose tissue_mesenchymal stem cell	PTPRC	4
adipose tissue_mesenchymal stem cell	SOX2	1
adipose tissue_mesenchymal stem cell	SUSD2	1
adipose tissue_mesenchymal stem cell	THY1	10
adipose tissue_monocyte	S100A8	1
adipose tissue_monocyte	S100A9	1
adipose tissue_natural killer cell	FASLG	1
adipose tissue_natural killer cell	FCGR3A	1
adipose tissue_natural killer cell	GNLY	1
adipose tissue_natural killer cell	KLRD1	1
adipose tissue_natural killer cell	KLRK1	1
adipose tissue_natural killer cell	NCAM1	1
adipose tissue_natural killer cell	NCR1	1
adipose tissue_natural killer cell	NKG7	1
adipose tissue_neuron	MAP2	1
adipose tissue_pericyte	CSPG4	2
adipose tissue_pericyte	MCAM	2
adipose tissue_preadipocyte	CD36	1
adipose tissue_preadipocyte	PECAM1	1
adipose tissue_smooth muscle cell	MCAM	1
adipose tissue_smooth muscle cell	PECAM1	1
adipose tissue_stem cell	ABCG2	1
adipose tissue_stem cell	CD34	8
adipose tissue_stem cell	CD44	6
adipose tissue_stem cell	CD55	1
adipose tissue_stem cell	CD59	1
adipose tissue_stem cell	CD9	2
adipose tissue_stem cell	CDH5	1
adipose tissue_stem cell	FABP4	1
adipose tissue_stem cell	ICAM1	1
adipose tissue_stem cell	ITGA1	1
adipose tissue_stem cell	ITGB1	5
adipose tissue_stem cell	KLF4	2
adipose tissue_stem cell	MCAM	1
adipose tissue_stem cell	MME	1
adipose tissue_stem cell	MYC	1
adipose tissue_stem cell	NANOG	2
adipose tissue_stem cell	NGFR	1
adipose tissue_stem cell	NT5E	5
adipose tissue_stem cell	PDGFRB	1
adipose tissue_stem cell	PECAM1	5
adipose tissue_stem cell	POU5F1	2
adipose tissue_stem cell	PTPRC	5
adipose tissue_stem cell	SOX2	2
adipose tissue_stem cell	TFRC	1
adipose tissue_stem cell	THY1	11
adipose tissue_stem cell	VCAM1	2
adipose tissue_stromal cell	ALCAM	1
adipose tissue_stromal cell	ANPEP	1
adipose tissue_stromal cell	CD34	4
adipose tissue_stromal cell	CD44	4
adipose tissue_stromal cell	CDH5	1
adipose tissue_stromal cell	GREM1	1
adipose tissue_stromal cell	ITGB1	2
adipose tissue_stromal cell	KLF4	1
adipose tissue_stromal cell	MME	1
adipose tissue_stromal cell	MYC	1
adipose tissue_stromal cell	NANOG	1
adipose tissue_stromal cell	NT5E	4
adipose tissue_stromal cell	PECAM1	2
adipose tissue_stromal cell	POU5F1	1
adipose tissue_stromal cell	PTPRC	2
adipose tissue_stromal cell	SOX2	1
adipose tissue_stromal cell	TFRC	1
adipose tissue_stromal cell	THY1	4
adipose tissue_stromal cell	VCAM1	1
adipose tissue_vascular associated smooth muscle cell	ACTA2	1
adipose tissue_vascular associated smooth muscle cell	MYH11	1
adipose tissue_vascular associated smooth muscle cell	TAGLN	1
adrenal gland_T cell	CD3E	1
